EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
 1831,107025,PENICUIK                                ,GB,+55:49:26,-003:13:33, 185, TG5,19600101,20171230,   35,National Climate Information Centre               
 1832,107026,EDINBURGH: ROYAL BOTANIC GARDEN         ,GB,+55:58:00,-003:12:36,  26, TG5,19600101,20171231,   35,National Climate Information Centre               
 1833,107027,DUNBAR                                  ,GB,+56:00:14,-002:31:33,  23, TG5,19600101,20170930,   35,National Climate Information Centre               
 1834,107028,BLYTH BRIDGE                            ,GB,+55:42:11,-003:22:00, 253, TG5,19600101,20060410,   35,National Climate Information Centre               
 1835,107029,BOWHILL                                 ,GB,+55:32:27,-002:54:18, 168, TG5,19600101,20171231,   35,National Climate Information Centre               
 1836,107030,KIELDER CASTLE                          ,GB,+55:14:02,-002:34:44, 201, TG5,19600101,20171231,   35,National Climate Information Centre               
 1837,107031,MORPETH: COCKLE PARK                    ,GB,+55:12:54,-001:41:09,  95, TG5,19600101,20171231,   35,National Climate Information Centre               
 1838,107032,HIGH MOWTHORPE                          ,GB,+54:06:18,-000:38:30, 175, TG5,19600101,20171231,   35,National Climate Information Centre               
 1839,107033,SKEGNESS                                ,GB,+53:08:48,+000:20:56,   6, TG5,19600101,20171222,   35,National Climate Information Centre               
 1839,903392,WAINFLEET NO2                           ,GB,+53:04:59,+000:16:00,   5, TG5,19960210,20190430,    -,Synoptical message from GTS
 1840,107034,TERRINGTON ST CLEMENT                   ,GB,+52:44:42,+000:17:24,   2, TG5,19600101,20070731,   35,National Climate Information Centre               
 1841,107035,EAST BERGHOLT                           ,GB,+51:57:32,+001:01:36,   7, TG5,19600101,20171213,   35,National Climate Information Centre               
 1842,107036,WATTISHAM                               ,GB,+52:07:23,+000:57:42,  89, TG5,19600101,20171231,   35,National Climate Information Centre               
 1842,903590,WATTISHAM                               ,GB,+52:07:00,+000:58:00,  89, TG5,19820126,20190430,    -,Synoptical message from GTS
 1843,107037,LOWESTOFT                               ,GB,+52:29:20,+001:45:00,  25, TG5,19600101,20041231,   35,National Climate Information Centre               
 1843,115812,LOWESTOFT MONKTON AVENUE                ,GB,+52:28:59,+001:43:51,  18, TG5,20050101,20101030,   35,National Climate Information Centre               
 1844,107038,ROTHAMSTED                              ,GB,+51:48:24,-000:21:29, 128, TG5,19600101,20171231,   35,National Climate Information Centre               
 1845,107039,WRITTLE                                 ,GB,+51:43:54,+000:25:51,  32, TG5,19600101,20171231,   35,National Climate Information Centre               
 1846,107040,MALHAM TARN                             ,GB,+54:06:00,-002:09:42, 381, TG5,19600101,20171231,   35,National Climate Information Centre               
 1847,107041,BRADFORD                                ,GB,+53:48:47,-001:46:26, 134, TG5,19600101,20171231,   35,National Climate Information Centre               
 1848,107042,SHEFFIELD                               ,GB,+53:22:51,-001:29:24, 131, TG5,19600101,20171231,   35,National Climate Information Centre               
 1849,107043,BUXTON                                  ,GB,+53:15:24,-001:54:47, 307, TG5,19600102,20170930,   35,National Climate Information Centre               
 1850,107044,NOTTINGHAM: WATNALL                     ,GB,+53:00:18,-001:15:00, 117, TG5,19600101,20171231,   35,National Climate Information Centre               
 1850,903354,NOTTINGHAM, WATNALL                     ,GB,+53:00:00,-001:15:00, 117, TG5,19820126,20190430,    -,Synoptical message from GTS
 1851,107045,WARSOP                                  ,GB,+53:13:23,-001:06:54,  46, TG5,19600101,20060227,   35,National Climate Information Centre               
 1852,107046,NEWTOWN LINFORD                         ,GB,+52:40:48,-001:12:57, 119, TG5,19600101,20021229,   35,National Climate Information Centre               
 1853,107047,WELLESBOURNE                            ,GB,+52:12:21,-001:36:11,  47, TG5,19600101,20171231,   35,National Climate Information Centre               
 1854,107048,KEELE                                   ,GB,+52:59:53,-002:16:12, 179, TG5,19600101,20171231,   35,National Climate Information Centre               
 1855,107049,MALVERN                                 ,GB,+52:06:42,-002:18:24,  62, TG5,19600101,20081030,   35,National Climate Information Centre               
 1855,903527,GREAT MALVERN                           ,GB,+52:07:00,-002:18:00,  46, TG5,19970813,20081104,    -,Synoptical message from GTS
 1856,107050,HALESOWEN                               ,GB,+52:26:12,-002:04:30, 153, TG5,19600101,20041030,   35,National Climate Information Centre               
 1857,107051,KINLOCHEWE                              ,GB,+57:36:47,-005:18:36,  25, TG5,19600101,20171231,   35,National Climate Information Centre               
 1858,107052,LYONSHALL                               ,GB,+52:12:42,-002:58:05, 155, TG5,19600102,20141130,   35,National Climate Information Centre               
 1859,107053,HAMPSTEAD                               ,GB,+51:33:39,-000:10:44, 137, TG5,19600101,20160717,   35,National Climate Information Centre               
 1860,107054,HEATHROW                                ,GB,+51:28:44,-000:26:56,  25, TG5,19600101,20171231,   35,National Climate Information Centre               
 1860,903672,NORTHOLT                                ,GB,+51:33:00,-000:25:00,  33, TG5,19820126,20190430,    -,Synoptical message from GTS
 1860,903772,HEATHROW                                ,GB,+51:28:59,-000:27:00,  25, TG5,19820113,20190430,    -,Synoptical message from GTS
 1861,107055,WYE                                     ,GB,+51:11:06,+000:56:53,  56, TG5,19600101,20060330,   35,National Climate Information Centre               
 1862,107056,MANSTON                                 ,GB,+51:20:45,+001:20:24,  49, TG5,19610102,20171231,   35,National Climate Information Centre               
 1862,903797,MANSTON                                 ,GB,+51:21:00,+001:19:59,  50, TG5,19820113,20190430,    -,Synoptical message from GTS
 1863,107057,BOGNOR REGIS                            ,GB,+50:46:51,-000:40:33,   7, TG5,19600101,20171231,   35,National Climate Information Centre               
 1864,107058,EASTBOURNE                              ,GB,+50:45:32,+000:17:06,   7, TG5,19600101,20171220,   35,National Climate Information Centre               
 1865,107059,HASTINGS                                ,GB,+50:51:18,+000:34:18,  45, TG5,19600101,20171231,   35,National Climate Information Centre               
 1866,107060,WALLINGFORD                             ,GB,+51:36:11,-001:06:29,  48, TG5,19600401,20041231,   35,National Climate Information Centre               
 1866,903658,BENSON                                  ,GB,+51:37:00,-001:04:59,  57, TG5,19820126,20190430,    -,Synoptical message from GTS
 1867,107061,HURN                                    ,GB,+50:46:44,-001:50:02,  10, TG5,19600101,20171231,   35,National Climate Information Centre               
 1867,903862,HURN                                    ,GB,+50:46:59,-001:49:59,  10, TG5,19820113,20190430,    -,Synoptical message from GTS
 1868,107062,EVERTON                                 ,GB,+50:44:30,-001:34:26,  16, TG5,19600101,20030929,   35,National Climate Information Centre               
 1869,107063,LECKFORD                                ,GB,+51:07:23,-001:26:17, 117, TG5,19600101,20121230,   35,National Climate Information Centre               
 1870,107064,HAYLING ISLAND                          ,GB,+50:47:02,-000:59:02,   4, TG5,19600101,20171221,   35,National Climate Information Centre               
 1870,903872,THORNEY ISLAND                          ,GB,+50:49:00,-000:55:00,   4, TG5,19911205,20190430,    -,Synoptical message from GTS
 1871,107065,ALICE HOLT LODGE                        ,GB,+51:10:36,-000:50:53, 115, TG5,19600101,20171231,   35,National Climate Information Centre               
 1871,903761,ODIHAM                                  ,GB,+51:13:59,-000:57:00, 118, TG5,19820126,20190430,    -,Synoptical message from GTS
 1872,107066,LYNEHAM                                 ,GB,+51:30:06,-001:59:27, 145, TG5,19600101,20171231,   35,National Climate Information Centre               
 1872,903740,LYNEHAM                                 ,GB,+51:30:00,-001:58:59, 147, TG5,19820113,20190430,    -,Synoptical message from GTS
 1873,107067,RHUM: KINLOCH                           ,GB,+57:00:50,-006:17:12,   5, TG5,19600101,20091111,   35,National Climate Information Centre               
 1874,107068,BENMORE: YOUNGER BOTANIC GARDEN         ,GB,+56:01:41,-004:59:09,  12, TG5,19600101,20170903,   35,National Climate Information Centre               
 1875,107069,BUTE: ROTHESAY                          ,GB,+55:50:20,-005:03:50,  43, TG5,19600101,20121231,   35,National Climate Information Centre               
 1876,107070,LEADHILLS                               ,GB,+55:25:00,-003:45:32, 393, TG5,19600101,20170924,   35,National Climate Information Centre               
 1877,107071,CARNWATH                                ,GB,+55:42:00,-003:37:59, 208, TG5,19600101,20061031,   35,National Climate Information Centre               
 2006,114623,BROCKEN                                 ,DE,+51:48:00,+010:37:12,1142, TG3,19380101,20190430,   11,National Climate Data Center (DWD)                
 2022,106051,KOSZALIN                                ,PL,+54:12:15,+016:09:19,  33, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2022,912105,KOSZALIN                                ,PL,+54:12:00,+016:08:58,  34, TG5,19820114,20190430,    -,Synoptical message from GTS
 2024,106073,SUWALKI                                 ,PL,+54:07:50,+022:56:56, 184, TG7,19610101,20161231,   26,Tomasz Walczykiewicz                              
 2024,912195,SUWALKI                                 ,PL,+54:07:59,+022:57:00, 186, TG5,19820114,20190430,    -,Synoptical message from GTS
 2026,106090,CHOJNICE                                ,PL,+53:42:55,+017:31:56, 164, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2026,912235,CHOJNICE                                ,PL,+53:43:00,+017:33:00, 172, TG5,19820114,20190430,    -,Synoptical message from GTS
 2027,106111,TORUN                                   ,PL,+53:02:30,+018:35:44,  69, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2027,912250,TORUN                                   ,PL,+53:03:00,+018:34:59,  72, TG5,19820113,20190430,    -,Synoptical message from GTS
 2028,106134,MLAWA                                   ,PL,+53:06:15,+020:21:39, 147, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2028,912270,MLAWA                                   ,PL,+53:06:00,+020:21:00, 149, TG5,19820117,20190430,    -,Synoptical message from GTS
 2029,106163,GORZOW WLKP                             ,PL,+52:44:27,+015:16:37,  71, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2029,912300,GORZOW WLKP                             ,PL,+52:45:00,+015:16:59,  73, TG5,19820116,20190430,    -,Synoptical message from GTS
 2031,106237,ZIELONA GORA                            ,PL,+51:55:48,+015:31:28, 192, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2031,912400,ZIELONA GORA                            ,PL,+51:55:59,+015:31:59, 192, TG5,19820115,20190430,    -,Synoptical message from GTS
 2036,106334,KLODZKO                                 ,PL,+50:26:12,+016:36:51, 356, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2036,912520,KLODZKO                                 ,PL,+50:25:59,+016:37:00, 357, TG5,19820114,20190430,    -,Synoptical message from GTS
 2037,106355,KATOWICE                                ,PL,+50:14:26,+019:01:58, 278, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2037,912560,KATOWICE                                ,PL,+50:13:59,+019:01:59, 284, TG5,19820113,20190430,    -,Synoptical message from GTS
 2038,106369,KIELCE                                  ,PL,+50:48:38,+020:41:31, 260, TG7,19660101,20161231,   26,Tomasz Walczykiewicz                              
 2038,912570,KIELCE                                  ,PL,+50:49:00,+020:42:00, 261, TG5,19820117,20190430,    -,Synoptical message from GTS
 2042,152452,SZOMBATHELY                             ,HU,+47:11:53,+016:38:52, 201,TG13,19010101,20181231,   13,Monika Lakatos                                    
 2042,912812,SZOMBATHELY                             ,HU,+47:16:00,+016:37:59, 221, TG5,19820113,20190430,    -,Synoptical message from GTS
 2056,107502,BOTOSANI                                ,RO,+47:40:48,+026:40:12, 161,TG12,19610101,20160331,   28,Roxana Bojariu                                    
 2056,915020,BOTOSANI                                ,RO,+47:43:59,+026:37:59, 162, TG5,19820115,20190430,    -,Synoptical message from GTS
 2057,116378,CEAHLAU TOACA                           ,RO,+46:55:48,+025:55:12,1897,TG12,19640101,20160331,   28,Roxana Bojariu                                    
 2057,915108,CEAHLAU TOACA                           ,RO,+46:58:00,+025:55:59,1898, TG5,19820128,20190430,    -,Synoptical message from GTS
 2058,107506,CARANSEBES                              ,RO,+45:25:12,+022:15:00, 241,TG12,19610101,20160331,   28,Roxana Bojariu                                    
 2058,915292,CARANSEBES                              ,RO,+45:25:00,+022:15:00, 242, TG5,19820121,20190430,    -,Synoptical message from GTS
 2059,107510,GALATI                                  ,RO,+45:30:00,+028:01:12,  71,TG12,19610101,20160331,   28,Roxana Bojariu                                    
 2059,915310,GALATI                                  ,RO,+45:28:00,+028:01:00,  70, TG5,19820119,20190430,    -,Synoptical message from GTS
 2060,107514,RAMNICU VALCEA                          ,RO,+45:06:00,+024:22:12, 239,TG12,19610101,20160331,   28,Roxana Bojariu                                    
 2060,915346,RAMNICU VALCEA                          ,RO,+45:04:59,+024:22:00, 238, TG5,19820115,20190430,    -,Synoptical message from GTS
 2061,116379,CRAIOVA                                 ,RO,+44:13:48,+023:52:12, 192,TG12,19610101,20160331,   28,Roxana Bojariu                                    
 2061,915450,CRAIOVA                                 ,RO,+44:18:00,+023:52:00, 193, TG5,19820115,20190430,    -,Synoptical message from GTS
 2062,107508,CONSTANTA                               ,RO,+44:13:12,+028:37:48,  13,TG12,19610101,20160331,   28,Roxana Bojariu                                    
 2062,915480,CONSTANTA                               ,RO,+44:12:00,+028:37:59,  14, TG5,19820126,20190430,    -,Synoptical message from GTS
 2115,156839,CARLISLE                                ,GB,+54:56:03,-002:57:43,  28, TG5,20130101,20171231,   35,National Climate Information Centre               
 2115,903220,CARLISLE                                ,GB,+54:55:59,-002:58:00,  28, TG5,19920103,20190430,    -,Synoptical message from GTS
 2127,156835,BOSCOMBE DOWN                           ,GB,+51:09:41,-001:45:11, 126, TG5,20130101,20171231,   35,National Climate Information Centre               
 2127,903743,LARKHILL                                ,GB,+51:12:00,-001:48:00, 132, TG5,19950107,20190430,    -,Synoptical message from GTS
 2127,903746,BOSCOMBE DOWN                           ,GB,+51:10:00,-001:45:00, 126, TG5,19820126,20190430,    -,Synoptical message from GTS
 2135,107542,ROCHES POINT                            ,IE,+51:47:35,-008:14:38,  43, TG5,19551201,20190421,   17,Conor Daly                                        
 2135,116139,ROCHES POINT                            ,IE,+51:47:35,-008:14:38,  43, TG5,19930201,20040330,   17,Conor Daly                                        
 2135,903952,ROCHES POINT                            ,IE,+51:48:00,-008:15:00,  41, TG5,19820112,20190430,    -,Synoptical message from GTS
 2136,107569,CORK                                    ,IE,+51:51:00,-008:28:48, 153, TG5,19610101,19940430,   17,Conor Daly                                        
 2136,903955,CORK AIRPORT                            ,IE,+51:51:00,-008:28:59, 162, TG5,19820113,20190430,    -,Synoptical message from GTS
 2137,107555,ROSSLARE                                ,IE,+52:15:00,-006:19:48,  23, TG5,19561201,20080405,   17,Conor Daly                                        
 2138,107560,KILKENNY                                ,IE,+52:40:12,-007:16:12,  63, TG5,19570601,20080407,   17,Conor Daly                                        
 2139,107564,SHANNON                                 ,IE,+52:41:24,-008:55:05,   6, TG5,19450901,20190419,   17,Conor Daly                                        
 2139,903962,SHANNON AIRPORT                         ,IE,+52:42:00,-008:54:59,  20, TG5,19820113,20190430,    -,Synoptical message from GTS
 2140,107556,CLAREMORRIS                             ,IE,+53:43:12,-008:58:48,  69, TG5,19500101,20130331,   17,Conor Daly                                        
 2140,903970,CLAREMORRIS                             ,IE,+53:43:00,-008:58:59,  69, TG5,19820113,20190430,    -,Synoptical message from GTS
 2142,107553,CLONES                                  ,IE,+54:10:48,-007:13:48,  87, TG5,19510101,20080407,   17,Conor Daly                                        
 2142,903974,CLONES                                  ,IE,+54:10:59,-007:13:59,  87, TG5,19820113,20080406,    -,Synoptical message from GTS
 2143,107543,BELMULLET                               ,IE,+54:13:48,-010:00:00,   9, TG5,19560917,20100529,   17,Conor Daly                                        
 2143,903976,BELMULLET                               ,IE,+54:13:59,-010:00:00,  10, TG5,19820114,20190430,    -,Synoptical message from GTS
 2180,116092,PAYERNE                                 ,CH,+46:49:00,+006:57:00, 490, TG3,19640801,20190430,   32,Gergely Rigo                                      
 2180,906610,PAYERNE                                 ,CH,+46:49:00,+006:57:00, 492, TG5,19820113,20190430,    -,Synoptical message from GTS
 2184,107207,ROUEN - BOOS                            ,FR,+49:22:59,+001:10:54, 151, TG5,19680301,20171231,   10,Jean-Michel Soubeyroux                            
 2184,907037,ROUEN-BOOS                              ,FR,+49:22:59,+001:10:59, 152, TG5,19820113,20190430,    -,Synoptical message from GTS
 2190,107211,TOURS                                   ,FR,+47:26:39,+000:43:37, 108, TG5,19591101,20171231,   10,Jean-Michel Soubeyroux                            
 2190,907240,TOURS                                   ,FR,+47:27:00,+000:43:59, 112, TG5,19820113,20190430,    -,Synoptical message from GTS
 2192,107213,BASEL-MULHOUSE                          ,FR,+47:36:51,+007:30:36, 263, TG5,19470101,20171231,   10,Jean-Michel Soubeyroux                            
 2192,907299,BALE-MULHOUSE                           ,FR,+47:37:00,+007:31:00, 273, TG5,19820113,20190430,    -,Synoptical message from GTS
 2195,107215,LIMOGES - BELLEGARDE                    ,FR,+45:51:39,+001:10:30, 402, TG5,19730101,20171231,   10,Jean-Michel Soubeyroux                            
 2195,907434,LIMOGES-BELLEGARDE                      ,FR,+45:52:00,+001:10:59, 403, TG5,19820113,20190430,    -,Synoptical message from GTS
 2196,107216,LE PUY - LOUDES                         ,FR,+45:04:27,+003:45:50, 833, TG5,19840101,20171231,   10,Jean-Michel Soubeyroux                            
 2196,907471,LE PUY-LOUDES                           ,FR,+45:04:00,+003:46:00, 833, TG5,19840215,20190430,    -,Synoptical message from GTS
 2199,107219,GOURDON                                 ,FR,+44:44:42,+001:23:48, 260, TG5,19610201,20171231,   10,Jean-Michel Soubeyroux                            
 2199,907535,GOURDON                                 ,FR,+44:45:00,+001:24:00, 261, TG5,19820113,20190430,    -,Synoptical message from GTS
 2200,107220,MILLAU                                  ,FR,+44:07:06,+003:01:06, 712, TG5,19640401,20171231,   10,Jean-Michel Soubeyroux                            
 2200,907558,MILLAU                                  ,FR,+44:07:00,+003:01:00, 720, TG5,19820113,20190430,    -,Synoptical message from GTS
 2203,107222,MONT-DE-MARSAN                          ,FR,+43:54:34,-000:30:01,  59, TG5,19450101,20171231,   10,Jean-Michel Soubeyroux                            
 2203,907607,MONT-DE-MARSAN                          ,FR,+43:55:00,-000:30:00,  59, TG5,19820113,20190430,    -,Synoptical message from GTS
 2205,107224,ST-GIRONS                               ,FR,+43:00:19,+001:06:24, 414, TG5,19490101,20171231,   10,Jean-Michel Soubeyroux                            
 2205,907627,SAINT GIRONS                            ,FR,+43:00:00,+001:06:00, 411, TG5,19820113,20190430,    -,Synoptical message from GTS
 2207,107225,MONTPELLIER-AEROPORT                    ,FR,+43:34:36,+003:57:47,   2, TG5,19460101,20171231,   10,Jean-Michel Soubeyroux                            
 2207,907643,MONTPELLIER                             ,FR,+43:34:59,+003:58:00,   8, TG5,19820113,20190430,    -,Synoptical message from GTS
 2209,107227,AJACCIO                                 ,FR,+41:55:05,+008:47:34,   5, TG5,19491001,20171231,   10,Jean-Michel Soubeyroux                            
 2209,907761,AJACCIO                                 ,FR,+41:55:00,+008:48:00,   9, TG5,19820113,20190430,    -,Synoptical message from GTS
 2215,112082,ANDOYA                                  ,NO,+69:18:00,+016:08:59,  14,TG11,19580601,20190430,   22,Hans Olav Hygen                                   
 2215,157206,ANDENES                                 ,NO,+69:19:24,+016:07:12,   5,TG11,18670710,19720331,   22,Hans Olav Hygen                                   
 2215,901010,ANDOYA                                  ,NO,+69:18:00,+016:07:59,  14, TG5,19820113,20160104,    -,Synoptical message from GTS
 2216,109779,SLETTNES FYR                            ,NO,+71:05:02,+028:13:04,   8,TG11,19560826,20190430,   22,Hans Olav Hygen                                   
 2216,901078,SLETTNES LH                             ,NO,+71:05:58,+028:13:59,  10, TG5,19820114,20190430,    -,Synoptical message from GTS
 2230,110655,BERGEN/FLESLAND                         ,NO,+60:17:21,+005:13:35,  48,TG11,19551002,20190430,   22,Hans Olav Hygen                                   
 2230,901311,BERGEN/FLESLAND                         ,NO,+60:16:59,+005:13:59,  50, TG5,19820114,20190430,    -,Synoptical message from GTS
 2230,901317,BERGEN/FLORIDA                          ,NO,+60:22:59,+005:19:59,  36, TG5,19820113,20190430,    -,Synoptical message from GTS
 2260,137055,GUNNARN                                 ,SE,+65:00:26,+017:42:30, 280, TG6,19490102,20130331,   56,Marcus Flarup                                     
 2260,902126,GUNNARN A                               ,SE,+65:01:00,+017:42:00, 277, TG5,20090609,20190430,    -,Synoptical message from GTS
 2260,902128,GUNNARN                                 ,SE,+65:00:00,+017:42:00, 283, TG5,19820113,20130402,    -,Synoptical message from GTS
 2261,136998,LYCKSELE_A                              ,SE,+64:33:00,+018:43:12, 210, TG6,19951216,20190425,   56,Marcus Flarup                                     
 2261,137010,LYCKSELE                                ,SE,+64:34:48,+018:39:00, 234, TG6,19620201,19951025,   56,Marcus Flarup                                     
 2261,902261,LYCKSELE                                ,SE,+64:33:00,+018:43:00, 211, TG5,20001024,20190426,    -,Synoptical message from GTS
 2262,135717,MASESKAR_A                              ,SE,+58:05:24,+011:19:48,  16, TG6,19950801,20190430,   56,Marcus Flarup                                     
 2262,135720,MASESKAR                                ,SE,+58:06:00,+011:21:00,  14, TG6,19510101,19951031,   56,Marcus Flarup                                     
 2262,902505,MASESKAR                                ,SE,+58:06:00,+011:19:59,  16, TG5,19960928,20190430,    -,Synoptical message from GTS
 2263,135495,MALILLA A                               ,SE,+57:23:04,+015:48:12,  95, TG6,20080101,20190430,   56,Marcus Flarup                                     
 2263,135498,MALILLA                                 ,SE,+57:23:30,+015:54:48, 100, TG6,19650101,20120930,   56,Marcus Flarup                                     
 2263,902565,MALILLA A                               ,SE,+57:22:59,+015:48:00,  98, TG5,20090609,20190430,    -,Synoptical message from GTS
 2264,149153,BRJANSK                                 ,RU,+53:19:48,+034:13:47, 162, TG1,19360101,20131231,   15,Vyacheslav Razuvaev                               
 2269,146185,PELLO KK MUSEOTIE                       ,FI,+66:46:20,+023:58:01,  84,TG15,19710101,20190430,    9,Pauli Jokinen                                     
 2269,902844,PELLO                                   ,FI,+66:48:00,+024:00:00,  84, TG5,19820113,20190430,    -,Synoptical message from GTS
 2271,145165,NIVALA                                  ,FI,+63:55:00,+024:58:00,  79,TG15,19650101,20000702,    9,Pauli Jokinen                                     
 2276,151828,ERSOV                                   ,RU,+51:19:48,+048:21:00, 106, TG1,19360101,20131231,   15,Vyacheslav Razuvaev                               
 2281,152088,KRASNODAR                               ,RU,+45:01:48,+039:09:00,  29, TG1,19380101,20131231,   15,Vyacheslav Razuvaev                               
 2281,934927,KRASNODAR-KRUGLIK                       ,RU,+45:03:00,+039:01:59,  29, TG5,20090326,20160112,    -,Synoptical message from GTS
 2281,934929,KRASNODAR                               ,RU,+45:01:59,+039:09:00,  34, TG5,19820113,20090324,    -,Synoptical message from GTS
 2563,102016,DEELEN                                  ,NL,+52:03:18,+005:52:19,  50, TG3,19520702,20190430,   19,Ge Verver                                         
 2565,101939,HOOGEVEEN                               ,NL,+52:44:56,+006:34:23,  16, TG3,19891019,20190430,   19,Ge Verver                                         
 2565,906279,HOOGEVEEN                               ,NL,+52:43:59,+006:31:00,  16, TG5,19940604,20190426,    -,Synoptical message from GTS
 2566,102093,EINDHOVEN                               ,NL,+51:26:58,+005:22:36,  23, TG3,19510102,20190430,   19,Ge Verver                                         
 2569,102027,TWENTHE                                 ,NL,+52:16:23,+006:53:26,  33, TG3,19510102,20190430,   19,Ge Verver                                         
 2570,101983,VALKENBURG                              ,NL,+52:10:13,+004:25:45,   0, TG3,19510102,20160502,   19,Ge Verver                                         
 2570,155390,VOORSCHOTEN                             ,NL,+52:08:22,+004:26:11,  -1, TG3,20140801,20190430,   19,Ge Verver                                         
 2571,102515,WESTDORPE                               ,NL,+51:13:28,+003:51:39,   2, TG3,19910626,20190430,   19,Ge Verver                                         
 2571,906319,WESTDORPE                               ,NL,+51:13:59,+003:52:00,   2, TG5,19940604,20190430,    -,Synoptical message from GTS
 2571,906431,GENT/INDUSTRIE-ZONE                     ,BE,+51:10:59,+003:48:00,   8, TG5,19820115,20181028,    -,Synoptical message from GTS
 2574,109443,FOKSTUA                                 ,NO,+62:07:00,+009:16:59, 952,TG11,19370101,19680531,   22,Hans Olav Hygen                                   
 2574,109452,FOKSTUGU                                ,NO,+62:06:51,+009:17:13, 972,TG11,19680601,20190430,   22,Hans Olav Hygen                                   
 2574,901238,FOKSTUGU                                ,NO,+62:07:00,+009:16:59, 974, TG5,19820113,20190430,    -,Synoptical message from GTS
 2575,109545,KONGSBERG IV                            ,NO,+59:39:47,+009:39:00, 168,TG11,19791001,20020903,   22,Hans Olav Hygen                                   
 2575,109554,KONGSBERG II/III                        ,NO,+59:39:47,+009:38:53, 171,TG11,19540101,19790930,   22,Hans Olav Hygen                                   
 2575,109563,KONGSBERG BRANNSTASJON                  ,NO,+59:37:28,+009:38:16, 170,TG11,20030219,20190430,   22,Hans Olav Hygen                                   
 2575,901473,KONGSBERG BRANNSTASJON                  ,NO,+59:37:00,+009:37:59, 173, TG5,20030617,20190430,    -,Synoptical message from GTS
 2576,109545,KONGSBERG IV                            ,NO,+59:39:47,+009:39:00, 168,TG11,19791001,20020903,   22,Hans Olav Hygen                                   
 2576,109554,KONGSBERG II/III                        ,NO,+59:39:47,+009:38:53, 171,TG11,19540101,19790930,   22,Hans Olav Hygen                                   
 2576,109563,KONGSBERG BRANNSTASJON                  ,NO,+59:37:28,+009:38:16, 170,TG11,20030219,20190430,   22,Hans Olav Hygen                                   
 2576,901473,KONGSBERG BRANNSTASJON                  ,NO,+59:37:00,+009:37:59, 173, TG5,20030617,20190430,    -,Synoptical message from GTS
 2577,100610,NESBYEN-SKOGLUND                        ,NO,+60:34:06,+009:07:18, 167,TG11,19430101,20040315,   22,Hans Olav Hygen                                   
 2577,105501,NESBYEN-TODOKK                          ,NO,+60:34:01,+009:08:00, 166,TG11,20031121,20190430,   22,Hans Olav Hygen                                   
 2577,109572,NESBYEN                                 ,NO,+60:34:00,+009:06:00, 164,TG11,19430101,19451231,   22,Hans Olav Hygen                                   
 2577,109581,NESBYEN II                              ,NO,+60:34:00,+009:07:59, 165,TG11,19460301,19761031,   22,Hans Olav Hygen                                   
 2578,100610,NESBYEN-SKOGLUND                        ,NO,+60:34:06,+009:07:18, 167,TG11,19430101,20040315,   22,Hans Olav Hygen                                   
 2578,105501,NESBYEN-TODOKK                          ,NO,+60:34:01,+009:08:00, 166,TG11,20031121,20190430,   22,Hans Olav Hygen                                   
 2578,109581,NESBYEN II                              ,NO,+60:34:00,+009:07:59, 165,TG11,19460301,19761031,   22,Hans Olav Hygen                                   
 2579,109615,ROROS                                   ,NO,+62:34:01,+011:23:00, 628,TG11,19540101,20030831,   22,Hans Olav Hygen                                   
 2579,109624,ROROS AIRPORT                           ,NO,+62:34:37,+011:21:06, 625,TG11,20010901,20190430,   22,Hans Olav Hygen                                   
 2579,901288,ROROS AP                                ,NO,+62:34:00,+011:22:59, 630, TG5,19820113,20190430,    -,Synoptical message from GTS
 2581,109721,ONA                                     ,NO,+62:52:00,+006:33:00,  11,TG11,19510101,19630331,   22,Hans Olav Hygen                                   
