EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
   33,907630,TOULOUSE BLAGNAC                        ,FR,+43:37:00,+001:22:59, 158, TG5,19820114,20190430,    -,Synoptical message from GTS
   34,100841,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, TG5,19201109,20171231,   10,Jean-Michel Soubeyroux                            
   34,907510,BORDEAUX MERIGNAC                       ,FR,+44:49:59,-000:42:00,  54, TG5,19820113,20190430,    -,Synoptical message from GTS
   36,100843,PERPIGNAN                               ,FR,+42:44:13,+002:52:22,  42, TG5,19241117,20171231,   10,Jean-Michel Soubeyroux                            
   36,907747,PERPIGNAN                               ,FR,+42:43:59,+002:52:00,  47, TG5,19820113,20190430,    -,Synoptical message from GTS
   37,100844,LYON - ST EXUPERY                       ,FR,+45:43:35,+005:04:40, 235, TG5,19750420,20171231,   10,Jean-Michel Soubeyroux                            
   37,907481,LYON-ST EXUPERY                         ,FR,+45:45:00,+005:04:59, 240, TG5,19820113,20190430,    -,Synoptical message from GTS
   39,106702,MARIGNANE                               ,FR,+43:26:16,+005:12:57,   9, TG5,19210101,20171231,   10,Jean-Michel Soubeyroux                            
   39,907650,MARIGNANE                               ,FR,+43:27:00,+005:13:59,  32, TG5,19820113,20190430,    -,Synoptical message from GTS
   40,100128,BAMBERG                                 ,DE,+49:52:31,+010:55:18, 240, TG3,19490101,20190430,   11,National Climate Data Center (DWD)                
   40,910675,BAMBERG                                 ,DE,+49:52:59,+010:55:00, 243, TG5,20040101,20190430,    -,Synoptical message from GTS
   41,100133,BERLIN-DAHLEM                           ,DE,+52:27:50,+013:18:06,  51, TG3,19500101,20190430,   11,National Climate Data Center (DWD)                
   41,127488,BERLIN-DAHLEM (LFAG)                    ,DE,+52:27:28,+013:18:05,  55, TG3,18760101,19621231,   11,National Climate Data Center (DWD)                
   42,100138,BREMEN                                  ,DE,+53:02:47,+008:47:57,   4, TG3,18900101,20190430,   11,National Climate Data Center (DWD)                
   43,100143,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:40:59, 246, TG3,19170101,19740630,   11,National Climate Data Center (DWD)                
   43,102302,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:21, 227, TG3,19340101,20190430,   11,National Climate Data Center (DWD)                
   44,100148,FRANKFURT                               ,DE,+50:02:47,+008:35:54, 112, TG3,19490101,20190430,   11,National Climate Data Center (DWD)                
   44,122376,FRANKFURT/MAIN (FELDBERGSTR.)           ,DE,+50:07:21,+008:39:39, 109, TG3,18700101,19611130,   11,National Climate Data Center (DWD)                
   45,100153,HALLE                                   ,DE,+51:30:52,+011:57:02,  93, TG3,19510101,20150322,   11,National Climate Data Center (DWD)                
   45,910466,HALLE-KROELLWITZ                        ,DE,+51:31:00,+011:57:00,  96, TG5,20040101,20150323,    -,Synoptical message from GTS
   46,100158,HAMBURG BERGEDORF                       ,DE,+53:28:50,+010:14:34,  35, TG3,19120101,19620930,   11,National Climate Data Center (DWD)                
   47,111417,HAMBURG FUHLSBUETTEL                    ,DE,+53:38:06,+009:59:24,  11, TG3,19360101,20190430,   11,National Climate Data Center (DWD)                
   47,181383,HAMBURG (DEUTSCHE SEEWARTE)             ,DE,+53:32:48,+009:58:17,   3, TG3,18910101,19351231,   11,National Climate Data Center (DWD)                
   48,100167,HOHENPEISSENBERG                        ,DE,+47:48:06,+011:00:42, 977, TG3,17810101,20190430,   11,National Climate Data Center (DWD)                
   49,100172,JENA STERNWARTE                         ,DE,+50:55:36,+011:35:03, 155, TG3,18240101,20190430,   11,National Climate Data Center (DWD)                
   50,100177,KAISERSLAUTERN                          ,DE,+49:25:31,+007:44:12, 285, TG3,19010101,20190430,   11,National Climate Data Center (DWD)                
   51,100182,KARLSRUHE                               ,DE,+49:02:21,+008:21:54, 112, TG3,18760101,20081031,   11,National Climate Data Center (DWD)                
   51,111506,RHEINSTETTEN                            ,DE,+48:58:24,+008:19:51, 116, TG3,19480101,20190430,   11,National Climate Data Center (DWD)                
   52,100187,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, TG3,19540601,20190430,   11,National Climate Data Center (DWD)                
   52,126264,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, TG3,19451101,19531231,   11,National Climate Data Center (DWD)                
   52,126276,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:51,+011:30:11, 515, TG3,18790101,19541231,   11,National Climate Data Center (DWD)                
   52,126288,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:00,+011:30:09, 515, TG3,19550101,19990331,   11,National Climate Data Center (DWD)                
   53,100192,MUENSTER                                ,DE,+51:57:02,+007:35:29,  62, TG3,18910101,19911231,   11,National Climate Data Center (DWD)                
   54,100197,POTSDAM                                 ,DE,+52:23:00,+013:03:50,  81, TG3,18930101,20190430,   11,National Climate Data Center (DWD)                
   55,100202,SCHWERIN                                ,DE,+53:38:39,+011:23:18,  59, TG3,18900101,20190430,   11,National Climate Data Center (DWD)                
   56,100207,STUTTGART                               ,DE,+48:46:13,+009:10:57, 401, TG3,19000101,19991231,   11,National Climate Data Center (DWD)                
   57,100212,TRIER                                   ,DE,+49:45:06,+006:38:48, 144, TG3,19070501,19990131,   11,National Climate Data Center (DWD)                
   57,129432,TRIER-ZEWEN                             ,DE,+49:43:57,+006:36:47, 132, TG3,19070501,20190430,   11,National Climate Data Center (DWD)                
   58,100217,ZUGSPITZE                               ,DE,+47:25:19,+010:59:12,2964, TG3,19000801,20190430,   11,National Climate Data Center (DWD)                
   59,100222,CORFU                                   ,GR,+39:37:00,+019:55:00,  11, TG1,19550101,20041231,   12,Maria Michelaraki                                 
   59,916641,KERKYRA                                 ,GR,+39:37:00,+019:55:00,   4, TG5,19820113,20190430,    -,Synoptical message from GTS
   60,100227,HELLINIKON                              ,GR,+37:54:00,+023:45:00,  10, TG1,19550101,20041231,   12,Maria Michelaraki                                 
   61,100232,HERAKLION                               ,GR,+35:19:59,+025:10:59,  39, TG1,19550101,20041231,   12,Maria Michelaraki                                 
